Yr,Tm,FG%,3P%,2P%,Age,ORtg,DRtg,NRtg,Pace,3PAr,TS%,eFG%,TOV%,ORB%,eFG%,TOV%,DRB%,Championship
2013,Milwaukee Bucks,0.433,0.261,0.507,26.1,94,110.3,-16.3,90.7,0.3,0.498,0.472,15.9,21.1,0.544,16.5,70.7,N
2013,New York Knicks,0.41,0.343,0.438,29.6,101.4,98.3,3.1,86.6,0.288,0.498,0.46,11.5,24.2,0.47,17.1,76.5,N
2013,Oklahoma City Thunder,0.427,0.349,0.46,26.9,105.1,103.7,1.4,92.8,0.303,0.534,0.479,12.9,23,0.468,12.5,76,N
2013,San Antonio Spurs,0.463,0.378,0.492,28.7,108.7,101.1,7.6,89.6,0.253,0.547,0.511,12.3,23.3,0.475,12.8,73.8,N
2012,Atlanta Hawks,0.401,0.31,0.43,28.1,91.8,97.1,-5.3,87.9,0.237,0.475,0.438,15.1,22.6,0.461,13,82.3,N
2012,Boston Celtics,0.438,0.285,0.479,30.1,100.4,99.2,1.2,87.8,0.211,0.516,0.468,13,20.1,0.464,13.4,75.1,N
2012,Chicago Bulls,0.421,0.342,0.436,27.8,95.7,97.6,-1.9,88.1,0.157,0.475,0.448,13.9,26.8,0.428,9.9,78.2,N
2012,Dallas Mavericks,0.404,0.372,0.416,32.6,102.9,110.1,-7.2,90.6,0.276,0.519,0.455,13.9,24.7,0.52,12.8,80.5,N
2012,Denver Nuggets,0.43,0.278,0.472,26,107.1,106.6,0.5,90.3,0.213,0.492,0.46,10.2,33,0.461,11,66.7,N
2012,Indiana Pacers,0.424,0.32,0.455,26.4,102.4,100.9,1.5,88,0.225,0.507,0.461,14.4,29.8,0.469,13.2,75.2,N
2012,Los Angeles Clippers,0.458,0.378,0.48,26.8,101.3,106.5,-5.2,88.9,0.217,0.53,0.499,14.7,22.2,0.491,14.5,71,N
2012,Los Angeles Lakers,0.423,0.304,0.454,28.5,105.4,110,-4.6,89.2,0.207,0.502,0.454,11.8,31,0.474,9.7,69.7,N
2012,Memphis Grizzlies,0.427,0.289,0.452,26.1,102.8,102,0.8,87.7,0.155,0.509,0.449,14.7,32.6,0.493,15,75.9,N
2012,Miami Heat,0.46,0.347,0.499,28.8,109.6,101.6,8,88,0.258,0.552,0.505,12.8,26.1,0.466,14,74,Y
2012,New York Knicks,0.417,0.275,0.464,27.9,95.2,111.3,-16.1,86.9,0.248,0.499,0.451,18.1,30.1,0.511,13.7,74.1,N
2012,Oklahoma City Thunder,0.465,0.355,0.5,25.7,111.8,107.4,4.4,90.6,0.24,0.558,0.508,11.3,23.6,0.491,13.7,74.7,N
2012,Orlando Magic,0.398,0.341,0.425,27.8,94.8,107,-12.2,86.6,0.316,0.486,0.452,14,22.6,0.48,13.3,68.4,N
2012,Philadelphia 76ers,0.411,0.304,0.432,24.7,96.9,98.3,-1.4,88.5,0.168,0.482,0.436,11.5,23.9,0.459,14.1,76.8,N
